captured_at,window_days,start,end,total_queries,contested_queries,contested_share,contested_impressions,contested_clicks,contested_ctr,species_better,compare_better
2026-08-20T10:12:48Z,7,2026-08-11,2026-08-17,2546,53,0.020817,377,4,0.01061,17,36
2026-08-20T10:12:48Z,28,2026-07-21,2026-08-17,5709,141,0.024698,2073,36,0.017366,55,86
2026-08-20T10:12:48Z,7,2026-08-04,2026-08-10,2529,49,0.019375,343,5,0.014577,18,31
2026-08-20T10:12:48Z,28,2026-07-14,2026-08-10,7295,234,0.032077,2201,36,0.016356,46,188
2026-08-20T10:12:48Z,7,2026-07-28,2026-08-03,1866,43,0.023044,395,4,0.010127,18,25
2026-08-20T10:12:48Z,28,2026-07-07,2026-08-03,7114,258,0.036267,2305,33,0.014317,56,202
2026-08-20T10:12:48Z,7,2026-07-21,2026-07-27,1703,30,0.017616,236,3,0.012712,16,14
2026-08-20T10:12:48Z,28,2026-06-30,2026-07-27,6904,252,0.036501,2042,31,0.015181,53,199
2026-08-20T10:12:48Z,7,2026-07-14,2026-07-20,4335,144,0.033218,557,5,0.008977,13,131
2026-08-20T10:12:48Z,28,2026-06-23,2026-07-20,6628,237,0.035757,1845,25,0.01355,47,190
2026-08-20T10:12:48Z,7,2026-07-07,2026-07-13,2250,72,0.032,472,5,0.010593,23,49
2026-08-20T10:12:48Z,28,2026-06-16,2026-07-13,3862,112,0.029001,1106,16,0.014467,36,76
2026-08-20T10:12:48Z,7,2026-06-30,2026-07-06,1430,26,0.018182,120,2,0.016667,10,16
2026-08-20T10:12:48Z,28,2026-06-09,2026-07-06,3825,75,0.019608,514,10,0.019455,19,56
2026-08-20T10:12:48Z,7,2026-06-23,2026-06-29,1020,16,0.015686,80,2,0.025,8,8
2026-08-20T10:12:48Z,28,2026-06-02,2026-06-29,3232,50,0.01547,299,5,0.016722,7,43
2026-08-20T10:12:48Z,7,2026-06-16,2026-06-22,793,9,0.011349,32,1,0.03125,1,8
2026-08-20T10:12:48Z,28,2026-05-26,2026-06-22,2853,34,0.011917,150,1,0.006667,2,32
2026-08-20T10:12:48Z,7,2026-06-09,2026-06-15,2077,19,0.009148,56,0,0.0,0,19
2026-08-20T10:12:48Z,28,2026-05-19,2026-06-15,2650,19,0.00717,67,0,0.0,0,19
2026-08-20T10:12:48Z,7,2026-06-02,2026-06-08,479,2,0.004175,6,0,0.0,0,2
2026-08-20T10:12:48Z,28,2026-05-12,2026-06-08,1581,4,0.00253,15,0,0.0,0,4
2026-08-20T10:12:48Z,7,2026-05-26,2026-06-01,433,0,0.0,0,0,0.0,0,0
2026-08-20T10:12:48Z,28,2026-05-05,2026-06-01,1781,0,0.0,0,0,0.0,0,0
2026-08-20T10:12:48Z,7,2026-05-19,2026-05-25,418,0,0.0,0,0,0.0,0,0
2026-08-20T10:12:48Z,28,2026-04-28,2026-05-25,1920,0,0.0,0,0,0.0,0,0
2026-08-20T10:12:48Z,7,2026-05-12,2026-05-18,835,0,0.0,0,0,0.0,0,0
2026-08-20T10:12:48Z,28,2026-04-21,2026-05-18,2645,8,0.003025,75,0,0.0,5,3
2026-08-20T10:12:48Z,7,2026-05-05,2026-05-11,799,0,0.0,0,0,0.0,0,0
2026-08-20T10:12:48Z,28,2026-04-14,2026-05-11,2820,14,0.004965,133,0,0.0,9,5
2026-08-20T10:12:48Z,7,2026-04-28,2026-05-04,520,0,0.0,0,0,0.0,0,0
2026-08-20T10:12:48Z,28,2026-04-07,2026-05-04,2568,14,0.005452,140,0,0.0,6,8
2026-08-27T20:40:02Z,7,2026-08-18,2026-08-24,2625,66,0.025143,515,10,0.019417,25,41
2026-08-27T20:40:02Z,28,2026-07-28,2026-08-24,6238,170,0.027252,2464,40,0.016234,63,107
2026-09-03T20:40:02Z,7,2026-08-25,2026-08-31,3029,74,0.024431,578,12,0.020761,30,44
2026-09-03T20:40:02Z,28,2026-08-04,2026-08-31,6868,213,0.031013,3061,51,0.016661,77,136
