captured_at,store,country,group,term,rank,result_count,truncated,status,name_match_top5,top3_1,top3_2,top3_3,error
2026-08-13T01:56:00Z,play,AU,niche_tracker,fruit tree tracker,26,30,true,ranked,,com.zht.fruit_trees,org.greenstand.android.TreeTracker,com.PlayMore.FruitTree,
2026-08-13T01:56:00Z,play,AU,niche_tracker,orchard tracker,,12,false,absent,,com.habadigital.obstgarten,com.theorchard.OrchardGo,com.orchardthieves,
2026-08-13T01:56:00Z,play,AU,niche_tracker,tree tracker,,30,true,absent_window_capped,,org.greenstand.android.TreeTracker,org.treeo.treeo,cz.nadacepartnerstvi.treecheck,
2026-08-13T01:56:00Z,play,AU,niche_tracker,graft tracker,1,30,true,ranked,,app.treesmith,com.cibiltech.ptg.graftCare,me.cfs.chronic.fatigue.syndrome.pacing.diary.tracker,
2026-08-13T01:56:00Z,play,AU,niche_tracker,grafting tracker,1,30,true,ranked,,app.treesmith,com.dreamteammobile.tagtracker,me.cfs.chronic.fatigue.syndrome.pacing.diary.tracker,
2026-08-13T01:56:00Z,play,AU,niche_tracker,bonsai tracker,,30,true,absent_window_capped,,app.bonsaicare,com.jooni.app,com.coddykit.bonsaicare,
2026-08-13T01:56:00Z,play,AU,niche_tracker,citrus tracker,,30,true,absent_window_capped,,com.wemagineai.citrus,com.boxnbiz.citrusfreight,com.dub.app.citruscollege,
2026-08-13T01:56:00Z,play,AU,niche_tracker,propagation tracker,,9,false,absent,,ua.rv.sashko.hf_propagation,jp.moo.myworks.progressofproject,amar.progress,
2026-08-13T01:56:00Z,play,AU,niche_tracker,seedling tracker,,30,true,absent_window_capped,,us.seedtime.app,com.sochitieu.app,ro.crxapps.seedling,
2026-08-13T01:56:00Z,play,AU,niche_tracker,harvest tracker,,30,true,absent_window_capped,,com.harvestapp,com.nplglobalappdev.nplshare,com.topcon.harvestTrackerLite,
2026-08-13T01:56:00Z,play,AU,broad,plant tracker,,30,true,absent_window_capped,,com.potally.app,com.plantparentai.app,com.devjah.plants,
2026-08-13T01:56:00Z,play,AU,broad,garden journal,,26,false,absent,,com.perculacreative.peter.gardenplanner,com.sevelina.garden.planner.scheduler.help,us.seedtime.app,
2026-08-13T01:56:00Z,play,AU,broad,garden planner,,20,false,absent,,com.perculacreative.peter.gardenplanner,org.alphabeet.app,us.seedtime.app,
2026-08-13T01:56:00Z,play,AU,broad,plant log,,30,true,absent_window_capped,,com.plantlog.plantlog,com.mirkaeraketo.plantdiary,com.devjah.plants,
2026-08-13T01:56:00Z,play,AU,broad,garden diary,,29,false,absent,,com.perculacreative.peter.gardenplanner,com.mirkaeraketo.plantdiary,com.sevelina.garden.planner.scheduler.help,
2026-08-13T01:56:00Z,play,AU,broad,garden log,,30,true,absent_window_capped,,com.perculacreative.peter.gardenplanner,com.mg.mygarden,us.seedtime.app,
2026-08-13T01:56:00Z,play,AU,broad,plant inventory,,21,false,absent,,com.mirkaeraketo.plantdiary,com.devjah.plants,org.plantnet,
2026-08-13T01:56:00Z,play,AU,broad,plant collection,,23,false,absent,,cn.danatech.xingseus,greg.io.care_app_android,com.kongregate.mobile.pocketplants.google,
2026-08-13T01:56:00Z,play,AU,broad,plant catalogue,,12,false,absent,,com.mirkaeraketo.plantdiary,greg.io.care_app_android,cn.danatech.xingseus,
2026-08-13T01:56:00Z,play,AU,broad,plant database,,24,false,absent,,cn.danatech.xingseus,org.plantnet,com.stevelib.thetortoisetable,
2026-08-13T01:56:00Z,play,AU,broad,garden mapping,,29,false,absent,,com.perculacreative.peter.gardenplanner,org.alphabeet.app,com.fate.gardenAi2,
2026-08-13T01:56:00Z,play,AU,broad,plant care,,30,true,absent_window_capped,,com.plantparentai.app,com.stromming.planta,me.jodoin.aiplantdoctor,
2026-08-13T01:56:00Z,play,AU,subject,fruit tree,,30,true,absent_window_capped,,com.PlayMore.FruitTree,com.zht.fruit_trees,com.dictionary.fruittrees.fruit.trees,
2026-08-13T01:56:00Z,play,AU,subject,fruit tree journal,,30,true,absent_window_capped,,com.zht.fruit_trees,com.dictionary.fruittrees.fruit.trees,com.soft24hours.dictionaries.dictionary11,
2026-08-13T01:56:00Z,play,AU,subject,fruit tree care,,30,true,absent_window_capped,,com.dictionary.fruittrees.fruit.trees,com.zht.fruit_trees,com.fruittree.crush,
2026-08-13T01:56:00Z,play,AU,subject,rare fruit,,30,true,absent_window_capped,,com.taprun.fruitheroline,com.fruitripeness.hru,com.cutthefruit.rope.strawberry,
2026-08-13T01:56:00Z,play,AU,subject,grafting,,30,true,absent_window_capped,,com.mmircil.cnb2,com.amazon.kindle,com.garmin.android.apps.connectmobile,
2026-08-13T01:56:00Z,play,AU,subject,scion wood,,12,false,absent,,com.beauty_nxt.app,org.scionlab.scion,com.anideaz.woodsnipes,
2026-08-13T01:56:00Z,play,AU,subject,rootstock,,30,true,absent_window_capped,,com.rootiq.stock,com.blackboxstocks.mobile,com.recroot.app,
2026-08-13T01:56:00Z,play,AU,subject,orchard management,,30,true,absent_window_capped,,com.trackensure.orchard,tech.farmable.farmable,com.theorchard.OrchardGo,
2026-08-13T01:56:00Z,play,AU,subject,orchard map,,30,true,absent_window_capped,,com.okshur.WastelandOrchard,com.askpascal.tinnies,com.google.android.apps.mapslite,
2026-08-13T01:56:00Z,play,AU,subject,home orchard,,29,false,absent,,com.habadigital.obstgarten,com.okshur.WastelandOrchard,com.orchard.poc,
